airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,19:00:00,1325,1,In-flight meal not included,12373
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,12:00:00,960,1,No Info,13044
Multiple Carriers,2019-04-09,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,12537
Air India,2019-05-06,Kolkata,Banglore,17:30:00,08:55:00,925,1,No Info,10203
Air India,2019-05-01,Kolkata,Banglore,09:25:00,13:45:00,1700,2,No Info,15532
Indigo,2019-03-24,Banglore,New Delhi,23:30:00,02:20:00,170,0,No Info,5694
Jet Airways,2019-03-15,Banglore,New Delhi,21:25:00,05:05:00,460,1,No Info,27210
Indigo,2019-05-27,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4804
Air India,2019-05-06,Mumbai,Hyderabad,06:20:00,07:40:00,80,0,No Info,3625
Multiple Carriers,2019-06-01,Delhi,Cochin,10:35:00,19:00:00,505,1,No Info,11200
Indigo,2019-04-09,Kolkata,Banglore,15:30:00,18:05:00,155,0,No Info,4174
Air India,2019-06-09,Kolkata,Banglore,12:00:00,07:55:00,1195,2,No Info,10151
Indigo,2019-06-06,Kolkata,Banglore,17:15:00,19:50:00,155,0,No Info,4804
Indigo,2019-04-06,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,4423
Jet Airways,2019-03-06,Delhi,Cochin,09:00:00,04:25:00,1165,1,In-flight meal not included,13843
Goair,2019-04-24,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,3419
Air India,2019-05-21,Kolkata,Banglore,09:25:00,13:45:00,1700,2,No Info,11542
Multiple Carriers,2019-04-09,Delhi,Cochin,17:00:00,01:30:00,510,1,No Info,6838
Indigo,2019-03-21,Delhi,Cochin,06:40:00,22:20:00,940,1,No Info,6558
Air India,2019-03-12,Banglore,New Delhi,11:50:00,08:55:00,1265,1,No Info,11707
Jet Airways,2019-06-01,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,8016
Jet Airways,2019-06-06,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,04:40:00,875,1,No Info,13941
Goair,2019-06-27,Banglore,Delhi,11:40:00,14:30:00,170,0,No Info,3898
Air Asia,2019-05-06,Kolkata,Banglore,07:35:00,19:25:00,710,1,No Info,5192
Goair,2019-06-01,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,6393
Air India,2019-03-21,Banglore,New Delhi,08:50:00,23:15:00,865,1,No Info,6824
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,04:40:00,730,1,No Info,12471
Spicejet,2019-06-24,Delhi,Cochin,06:05:00,11:20:00,315,1,No Info,5583
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,22:05:00,1745,1,No Info,12692
Multiple Carriers,2019-06-06,Delhi,Cochin,09:00:00,21:00:00,720,1,No Info,13587
Indigo,2019-03-24,Banglore,New Delhi,06:00:00,08:45:00,165,0,No Info,4777
Indigo,2019-05-24,Banglore,Delhi,07:10:00,10:05:00,175,0,No Info,4823
Air India,2019-03-03,Delhi,Cochin,17:20:00,09:25:00,965,1,No Info,16352
Multiple Carriers,2019-05-27,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,13377
Jet Airways,2019-06-12,Kolkata,Banglore,18:55:00,08:15:00,800,1,No Info,13044
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,08:15:00,1090,1,In-flight meal not included,8586
Jet Airways,2019-06-06,Delhi,Cochin,09:00:00,19:00:00,600,1,In-flight meal not included,10262
Spicejet,2019-05-27,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,2385
Air India,2019-05-18,Kolkata,Banglore,05:50:00,20:25:00,875,2,No Info,12093
Spicejet,2019-05-09,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,2175
Multiple Carriers,2019-06-03,Delhi,Cochin,07:05:00,16:10:00,545,1,No Info,10696
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,21:05:00,1685,1,No Info,12121
Air India,2019-05-21,Delhi,Cochin,05:55:00,19:15:00,800,2,No Info,10861
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,19:00:00,1530,1,No Info,14714
Indigo,2019-03-15,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,6297
Jet Airways,2019-05-01,Banglore,Delhi,08:20:00,11:20:00,180,0,In-flight meal not included,5198
Indigo,2019-03-03,Delhi,Cochin,14:30:00,17:35:00,185,0,No Info,7673
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,18:15:00,1400,1,In-flight meal not included,10844
Goair,2019-04-27,Delhi,Cochin,07:25:00,13:35:00,370,1,No Info,5140
Air India,2019-03-09,Banglore,New Delhi,06:50:00,12:15:00,325,1,No Info,5118
Air India,2019-06-06,Delhi,Cochin,09:45:00,09:25:00,1420,1,No Info,7952
Multiple Carriers,2019-05-15,Delhi,Cochin,08:45:00,19:00:00,615,1,No Info,9794
Jet Airways,2019-06-12,Delhi,Cochin,19:15:00,12:35:00,1040,1,In-flight meal not included,10262
Air India,2019-05-09,Delhi,Cochin,12:30:00,09:25:00,1255,1,No Info,7480
Spicejet,2019-04-09,Banglore,Delhi,21:10:00,00:05:00,175,0,No Info,3971
Spicejet,2019-03-18,Mumbai,Hyderabad,05:45:00,07:05:00,80,0,No check-in baggage included,2385
Jet Airways,2019-03-06,Delhi,Cochin,19:10:00,19:45:00,1475,2,No Info,21954
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,18:15:00,705,1,No Info,14781
Vistara,2019-05-01,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Multiple Carriers,2019-05-15,Delhi,Cochin,07:00:00,21:00:00,840,1,No Info,8073
Indigo,2019-03-01,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,8580
Indigo,2019-05-09,Delhi,Cochin,08:35:00,22:30:00,835,1,No Info,6734
Indigo,2019-05-15,Banglore,Delhi,22:10:00,01:00:00,170,0,No Info,3419
Air India,2019-03-01,Banglore,New Delhi,10:30:00,21:25:00,655,2,No Info,11213
Air Asia,2019-04-09,Kolkata,Banglore,06:50:00,10:30:00,220,1,No Info,5162
Multiple Carriers,2019-06-15,Delhi,Cochin,11:40:00,01:30:00,830,1,No Info,6795
Indigo,2019-04-27,Kolkata,Banglore,22:15:00,00:50:00,155,0,No Info,4804
Air India,2019-06-18,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Jet Airways,2019-06-09,Mumbai,Hyderabad,02:55:00,04:20:00,85,0,In-flight meal not included,4050
Jet Airways,2019-06-21,Banglore,Delhi,08:20:00,11:20:00,180,0,No Info,8016
Indigo,2019-06-18,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3597
Air Asia,2019-06-21,Kolkata,Banglore,19:55:00,22:25:00,150,0,No Info,4107
Spicejet,2019-05-01,Banglore,Delhi,09:30:00,12:20:00,170,0,No Info,4423
Indigo,2019-05-03,Banglore,Delhi,18:25:00,21:20:00,175,0,No Info,4823
Vistara,2019-03-06,Mumbai,Hyderabad,21:55:00,22:55:00,1500,1,No Info,12395
Air India,2019-04-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,2050
Multiple Carriers,2019-05-15,Delhi,Cochin,12:50:00,21:00:00,490,1,No Info,7670
Indigo,2019-06-09,Banglore,Delhi,20:00:00,22:50:00,170,0,No Info,4823
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,11:25:00,1280,1,No Info,20800
Jet Airways,2019-06-09,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,7229
Jet Airways,2019-03-12,Banglore,New Delhi,22:55:00,12:25:00,810,1,In-flight meal not included,11087
Spicejet,2019-04-27,Banglore,Delhi,05:55:00,08:35:00,160,0,No Info,4423
Air India,2019-05-15,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,4667
Air India,2019-05-27,Delhi,Cochin,05:10:00,08:00:00,170,0,No Info,6094
Jet Airways,2019-05-21,Banglore,Delhi,17:45:00,20:45:00,180,0,No Info,7229
Jet Airways,2019-06-09,Delhi,Cochin,14:00:00,04:25:00,865,1,In-flight meal not included,10262
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,09:20:00,1010,1,In-flight meal not included,9663
Goair,2019-06-27,Delhi,Cochin,14:25:00,19:35:00,310,1,No Info,7870
Air India,2019-05-15,Kolkata,Banglore,09:25:00,21:50:00,745,1,No Info,8366
Air India,2019-06-21,Delhi,Cochin,14:10:00,17:10:00,180,0,No Info,5201
Air India,2019-03-06,Mumbai,Hyderabad,09:15:00,09:15:00,1440,1,No Info,9535
Vistara,2019-06-06,Kolkata,Banglore,17:00:00,18:50:00,1550,1,No Info,8820
Jet Airways,2019-05-21,Kolkata,Banglore,16:30:00,23:35:00,425,1,No Info,14781
Indigo,2019-03-27,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4148
Air India,2019-06-15,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,16:20:00,1150,1,No Info,13759
Spicejet,2019-06-15,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,3873
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,7933
Air India,2019-03-12,Banglore,New Delhi,17:25:00,10:15:00,1010,2,No Info,12778
Air India,2019-04-01,Mumbai,Hyderabad,19:30:00,20:45:00,75,0,No Info,2050
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,23:25:00,385,1,No Info,9870
Jet Airways,2019-03-09,Delhi,Cochin,05:25:00,04:25:00,1380,2,No Info,16914
Indigo,2019-05-27,Banglore,Delhi,10:10:00,13:00:00,170,0,No Info,3943
Goair,2019-06-09,Delhi,Cochin,14:25:00,19:35:00,310,1,No Info,9069
Spicejet,2019-05-09,Chennai,Kolkata,09:45:00,12:00:00,135,0,No Info,3597
Vistara,2019-04-18,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6216
Vistara,2019-06-24,Banglore,Delhi,09:45:00,12:35:00,170,0,No Info,4668
Spicejet,2019-03-03,Banglore,New Delhi,15:35:00,23:40:00,485,1,No Info,6315
Jet Airways,2019-06-06,Delhi,Cochin,22:50:00,19:00:00,1210,1,In-flight meal not included,10262
Jet Airways,2019-05-09,Banglore,Delhi,06:00:00,08:45:00,165,0,In-flight meal not included,4030
Indigo,2019-06-01,Delhi,Cochin,11:25:00,21:00:00,575,1,No Info,6416
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,22:35:00,510,1,No Info,14781
Jet Airways,2019-04-09,Banglore,Delhi,11:10:00,14:05:00,175,0,No Info,7229
Jet Airways,2019-05-06,Kolkata,Banglore,08:25:00,16:20:00,475,1,No Info,14781
Air Asia,2019-03-27,Delhi,Cochin,07:55:00,15:45:00,470,1,No Info,6151
Jet Airways,2019-03-24,Kolkata,Banglore,13:55:00,22:35:00,520,1,No Info,14231
Air India,2019-03-21,Delhi,Cochin,07:00:00,19:15:00,735,1,No Info,7934
Jet Airways,2019-06-06,Mumbai,Hyderabad,07:05:00,08:30:00,85,0,In-flight meal not included,4995
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,04:25:00,1760,2,No Info,16704
Vistara,2019-06-09,Kolkata,Banglore,20:20:00,23:25:00,1625,1,No Info,8085
Jet Airways,2019-04-09,Delhi,Cochin,20:55:00,12:35:00,940,1,No Info,11822
Spicejet,2019-05-18,Kolkata,Banglore,09:00:00,11:25:00,145,0,No Info,4491
Jet Airways,2019-05-03,Banglore,Delhi,19:50:00,22:50:00,180,0,In-flight meal not included,6144
Air India,2019-05-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2,No Info,11411
Indigo,2019-05-06,Chennai,Kolkata,13:15:00,15:35:00,140,0,No Info,3597
Spicejet,2019-05-18,Mumbai,Hyderabad,22:45:00,00:15:00,90,0,No check-in baggage included,1965
Jet Airways,2019-05-09,Delhi,Cochin,18:15:00,04:25:00,610,1,In-flight meal not included,12373
Multiple Carriers,2019-06-06,Delhi,Cochin,14:00:00,21:00:00,420,1,No Info,13587
Indigo,2019-04-06,Banglore,Delhi,13:00:00,15:50:00,170,0,No Info,4423
Indigo,2019-04-18,Banglore,Delhi,04:00:00,06:50:00,170,0,No Info,4423
Jet Airways,2019-04-03,Delhi,Cochin,14:00:00,12:35:00,1355,1,In-flight meal not included,5177
Jet Airways,2019-04-09,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,4544
Indigo,2019-03-06,Mumbai,Hyderabad,02:30:00,04:00:00,90,0,No Info,3175
Jet Airways,2019-05-01,Kolkata,Banglore,17:00:00,10:55:00,1075,1,No Info,12121
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,04:40:00,1330,1,In-flight meal not included,8586
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,20:05:00,290,1,No Info,5170
Indigo,2019-03-06,Delhi,Cochin,11:30:00,21:00:00,570,1,No Info,14871
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,08:10:00,660,1,In-flight meal not included,11134
Indigo,2019-06-24,Delhi,Cochin,09:15:00,01:30:00,975,1,No Info,6628
Multiple Carriers,2019-03-27,Delhi,Cochin,10:00:00,21:00:00,660,1,No Info,6883
Indigo,2019-06-06,Chennai,Kolkata,11:35:00,14:00:00,145,0,No Info,3858
Air India,2019-03-03,Banglore,New Delhi,10:30:00,11:20:00,1490,1,No Info,11003
Jet Airways,2019-03-18,Banglore,New Delhi,11:40:00,20:20:00,520,1,In-flight meal not included,11087
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,20:40:00,1495,1,No Info,13759
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,08:15:00,800,1,No Info,14388
Spicejet,2019-04-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0,No check-in baggage included,1965
Jet Airways,2019-06-06,Kolkata,Banglore,20:00:00,04:40:00,520,1,In-flight meal not included,8586
Air India,2019-03-21,Delhi,Cochin,21:00:00,19:15:00,1335,1,No Info,6587
Multiple Carriers,2019-06-01,Delhi,Cochin,11:40:00,19:15:00,455,1,No Info,10261
Air India,2019-03-03,Banglore,New Delhi,17:00:00,19:45:00,165,0,No Info,19508
Indigo,2019-04-06,Banglore,Delhi,18:55:00,21:50:00,175,0,No Info,4823
Indigo,2019-04-18,Kolkata,Banglore,14:25:00,16:55:00,150,0,No Info,5224
Indigo,2019-04-03,Delhi,Cochin,07:35:00,12:10:00,275,1,No Info,5073
Jet Airways,2019-03-06,Banglore,New Delhi,22:50:00,10:25:00,695,1,No Info,17261
Vistara,2019-05-21,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Multiple Carriers,2019-03-03,Delhi,Cochin,13:05:00,22:20:00,555,1,No Info,14153
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,09:20:00,1155,1,In-flight meal not included,9663
Indigo,2019-03-27,Delhi,Cochin,06:40:00,22:20:00,940,1,No Info,6442
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,19:50:00,685,1,In-flight meal not included,10844
Spicejet,2019-06-21,Kolkata,Banglore,17:10:00,19:40:00,150,0,No Info,3873
Indigo,2019-06-12,Delhi,Cochin,02:00:00,07:25:00,325,1,No Info,5636
Air India,2019-03-06,Delhi,Cochin,12:00:00,07:40:00,1180,2,No Info,14746
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,04:40:00,585,1,In-flight meal not included,9663
Indigo,2019-05-06,Delhi,Cochin,14:20:00,22:30:00,490,1,No Info,7054
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,14:25:00,1730,1,No Info,12121
Air India,2019-05-06,Kolkata,Banglore,20:30:00,08:55:00,745,1,No Info,10203
Jet Airways,2019-03-03,Delhi,Cochin,05:25:00,04:25:00,1380,2,No Info,18799
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,10:05:00,775,1,No Info,13941
Jet Airways,2019-06-18,Banglore,Delhi,19:50:00,22:50:00,180,0,No Info,8016
Jet Airways,2019-03-24,Mumbai,Hyderabad,07:10:00,08:35:00,85,0,No Info,5678
Jet Airways,2019-06-06,Delhi,Cochin,11:40:00,19:00:00,440,2,In-flight meal not included,15812
Air India,2019-03-03,Banglore,New Delhi,08:15:00,23:10:00,895,1,No Info,6781
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,19:15:00,795,1,No Info,9736
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,16:10:00,435,1,No Info,19225
Jet Airways,2019-06-09,Kolkata,Banglore,21:10:00,22:35:00,1525,1,In-flight meal not included,10844
Air India,2019-05-06,Kolkata,Banglore,10:00:00,05:25:00,1165,2,No Info,17049
Spicejet,2019-05-24,Kolkata,Banglore,06:55:00,09:30:00,155,0,No check-in baggage included,3841
Indigo,2019-03-06,Kolkata,Banglore,15:10:00,17:45:00,155,0,No Info,5618
Spicejet,2019-03-03,Kolkata,Banglore,06:55:00,09:35:00,160,0,No Info,4622
Indigo,2019-05-21,Delhi,Cochin,08:35:00,18:10:00,575,1,No Info,6442
Vistara,2019-06-03,Banglore,Delhi,11:30:00,14:20:00,170,0,No Info,4668
Indigo,2019-06-03,Delhi,Cochin,05:35:00,08:50:00,195,0,No Info,5601
Jet Airways,2019-03-21,Banglore,New Delhi,08:55:00,19:10:00,615,1,In-flight meal not included,7832
Spicejet,2019-04-03,Banglore,Delhi,05:55:00,08:35:00,160,0,No Info,3971
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,08:15:00,920,1,No Info,13555
Indigo,2019-05-03,Banglore,Delhi,23:30:00,02:20:00,170,0,No Info,4591
Jet Airways,2019-05-18,Delhi,Cochin,13:25:00,12:35:00,1390,2,No Info,16704
Vistara,2019-05-18,Kolkata,Banglore,20:20:00,10:45:00,865,1,No Info,9187
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,19:10:00,1365,1,No Info,14151
Jet Airways,2019-03-12,Banglore,New Delhi,09:45:00,16:00:00,375,1,No Info,12295
Vistara,2019-04-09,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,5613
Vistara,2019-05-21,Kolkata,Banglore,17:00:00,23:25:00,385,1,No Info,9345
Indigo,2019-06-24,Delhi,Cochin,11:55:00,22:30:00,635,1,No Info,6442
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,04:40:00,450,1,In-flight meal not included,8586
Multiple Carriers,2019-03-09,Delhi,Cochin,06:00:00,19:45:00,825,1,No Info,13941
Air India,2019-04-06,Banglore,Delhi,13:20:00,16:10:00,170,0,No Info,5176
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,12:35:00,1040,1,In-flight meal not included,12898
Jet Airways,2019-06-24,Delhi,Cochin,19:10:00,19:00:00,1430,2,No Info,12819
Vistara,2019-03-09,Delhi,Cochin,06:00:00,09:10:00,190,0,No Info,7266
Vistara,2019-05-15,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,09:05:00,1555,1,No Info,8137
Multiple Carriers,2019-03-21,Delhi,Cochin,11:40:00,21:00:00,560,1,No Info,7215
Multiple Carriers,2019-06-27,Delhi,Cochin,06:00:00,19:15:00,795,1,In-flight meal not included,7268
Indigo,2019-06-01,Delhi,Cochin,04:55:00,21:00:00,965,1,No Info,6314
Jet Airways,2019-03-03,Delhi,Cochin,13:55:00,04:25:00,870,1,No Info,17024
Jet Airways,2019-05-27,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,13029
Indigo,2019-04-15,Banglore,Delhi,00:30:00,03:25:00,175,0,No Info,4284
Jet Airways,2019-03-06,Mumbai,Hyderabad,10:20:00,11:50:00,90,0,No Info,8040
Air India,2019-06-01,Delhi,Cochin,17:15:00,07:40:00,865,2,No Info,14667
Air India,2019-05-09,Delhi,Cochin,09:45:00,09:25:00,1420,2,No Info,9925
Air India,2019-03-12,Banglore,New Delhi,08:50:00,23:25:00,875,2,No Info,13250
Jet Airways,2019-05-06,Kolkata,Banglore,14:05:00,04:40:00,875,1,In-flight meal not included,9663
Multiple Carriers,2019-04-09,Delhi,Cochin,08:00:00,19:00:00,660,1,No Info,11142
Spicejet,2019-05-12,Banglore,Delhi,05:55:00,08:35:00,160,0,No check-in baggage included,3257
Air India,2019-06-24,Delhi,Cochin,10:55:00,07:40:00,1245,2,No Info,11753
Indigo,2019-04-27,Delhi,Cochin,02:00:00,07:25:00,325,1,No Info,5796
Goair,2019-06-15,Kolkata,Banglore,15:20:00,17:55:00,155,0,No Info,3514
Jet Airways,2019-06-09,Mumbai,Hyderabad,19:35:00,21:05:00,90,0,No Info,5678
Jet Airways,2019-03-12,Banglore,New Delhi,18:55:00,18:25:00,1410,1,In-flight meal not included,11087
Jet Airways,2019-06-24,Delhi,Cochin,19:10:00,12:35:00,1045,2,No Info,12819
Jet Airways,2019-04-01,Banglore,Delhi,15:15:00,18:10:00,175,0,No Info,7229
Jet Airways,2019-06-12,Kolkata,Banglore,08:25:00,20:45:00,740,1,In-flight meal not included,9899
Air Asia,2019-05-12,Kolkata,Banglore,07:35:00,23:30:00,955,1,No Info,5320
Air India,2019-05-18,Kolkata,Banglore,12:00:00,13:15:00,1515,1,No Info,7662
Jet Airways,2019-03-06,Delhi,Cochin,17:55:00,04:25:00,2070,2,In-flight meal not included,15812
Indigo,2019-05-15,Delhi,Cochin,14:20:00,22:30:00,490,1,No Info,6412
Multiple Carriers,2019-03-27,Delhi,Cochin,16:00:00,01:35:00,575,1,No Info,12327
Indigo,2019-04-24,Banglore,Delhi,06:05:00,08:50:00,165,0,No Info,4423
Multiple Carriers,2019-03-27,Delhi,Cochin,15:15:00,01:35:00,620,1,No Info,6427
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,18:15:00,590,1,In-flight meal not included,10844
Goair,2019-04-03,Banglore,Delhi,20:55:00,23:40:00,165,0,No Info,4239
Multiple Carriers,2019-06-03,Delhi,Cochin,06:00:00,12:35:00,395,1,No Info,13259
Indigo,2019-06-06,Delhi,Cochin,07:35:00,16:10:00,515,1,No Info,6674
